TIME,S1,S2,S1_NORM,S2_NORM,THR1,THR2
35208,3453,3811,,,,
,,,,,,
35308,3482,3811,,,,
,,,,,,
35408,3455,3811,,,,
,,,,,,
35508,3449,3812,,,,
,,,,,,
35608,3478,3813,,,,
,,,,,,
35708,3451,3813,,,,
,,,,,,
35808,3451,3811,,,,
,,,,,,
35908,3453,3815,,,,
,,,,,,
36008,3451,3811,,,,
,,,,,,
36108,3483,3813,,,,
,,,,,,
36208,3448,3812,,,,
,,,,,,
36308,3451,3813,,,,
,,,,,,
36408,3449,3811,,,,
,,,,,,
36508,3451,3814,,,,
,,,,,,
36608,3529,3815,,,,
,,,,,,
36708,3427,3814,,,,
,,,,,,
36808,3404,3813,,,,
,,,,,,
36908,3454,3815,,,,
,,,,,,
37008,3451,3811,,,,
,,,,,,
37108,3450,3811,,,,
,,,,,,
37208,3453,3814,,,,
,,,,,,
37308,3452,3815,,,,
,,,,,,
37408,3451,3812,,,,
,,,,,,
37508,3450,3811,,,,
,,,,,,
37608,3451,3811,,,,
,,,,,,
37708,3451,3811,,,,
,,,,,,
37808,3447,3811,,,,
,,,,,,
37908,3471,3813,,,,
,,,,,,
38008,3451,3815,,,,
,,,,,,
38108,3464,3813,,,,
,,,,,,
38208,3451,3815,,,,
,,,,,,
38308,3450,3811,,,,
,,,,,,
38408,3451,3812,,,,
,,,,,,
38508,3450,3811,,,,
,,,,,,
38608,3453,3812,,,,
,,,,,,
38708,3450,3811,,,,
,,,,,,
38808,3449,3813,,,,
,,,,,,
38908,3451,3813,,,,
,,,,,,
39008,3463,3811,,,,
,,,,,,
39108,3465,3813,,,,
,,,,,,
39208,3451,3807,,,,
,,,,,,
39308,3469,3812,,,,
,,,,,,
39408,3455,3815,,,,
,,,,,,
39508,3454,3813,,,,
,,,,,,
39608,3455,3816,,,,
,,,,,,
39708,3463,3817,,,,
,,,,,,
39808,3464,3819,,,,
,,,,,,
39908,3467,3820,,,,
,,,,,,
40008,3468,3819,,,,
,,,,,,
40108,3470,3823,,,,
,,,,,,
40208,3471,3828,,,,
,,,,,,
40308,3472,3827,,,,
,,,,,,
40408,3443,3829,,,,
,,,,,,
40508,3476,3830,,,,
,,,,,,
40608,3479,3831,,,,
,,,,,,
40708,3478,3831,,,,
,,,,,,
40808,3482,3831,,,,
,,,,,,
40908,3483,3831,,,,
,,,,,,
41008,3481,3831,,,,
,,,,,,
41108,3483,3832,,,,
,,,,,,
41208,3481,3833,,,,
,,,,,,
41308,3481,3832,,,,
,,,,,,
41408,3481,3833,,,,
,,,,,,
41508,3483,3835,,,,
,,,,,,
41608,3481,3833,,,,
,,,,,,
41708,3481,3833,,,,
,,,,,,
41808,3483,3832,,,,
,,,,,,
41908,3481,3832,,,,
,,,,,,
42008,3561,3835,,,,
,,,,,,
42108,3541,3835,,,,
,,,,,,
42208,3475,3833,,,,
,,,,,,
42308,3483,3833,,,,
,,,,,,
42408,3483,3831,,,,
,,,,,,
42508,3483,3833,,,,
,,,,,,
42608,3481,3832,,,,
,,,,,,
42708,3479,3831,,,,
,,,,,,
42808,3479,3831,,,,
,,,,,,
42908,3477,3833,,,,
,,,,,,
43008,3480,3838,,,,
,,,,,,
43108,3477,3832,,,,
,,,,,,
43208,3477,3831,,,,
,,,,,,
43308,3471,3824,,,,
,,,,,,
43408,3474,3823,,,,
,,,,,,
43508,3466,3829,,,,
,,,,,,
43608,3475,3828,,,,
,,,,,,
43708,3471,3827,,,,
,,,,,,
43808,3471,3828,,,,
,,,,,,
43908,3467,3821,,,,
,,,,,,
44008,3464,3819,,,,
,,,,,,
44108,3455,3819,,,,
,,,,,,
44208,3453,3813,,,,
,,,,,,
44308,3451,3816,,,,
,,,,,,
44408,3449,3815,,,,
,,,,,,
44508,3448,3813,,,,
,,,,,,
44608,3437,3812,,,,
,,,,,,
44708,3451,3811,,,,
,,,,,,
44808,3453,3813,,,,
,,,,,,
44908,3451,3813,,,,
,,,,,,
45008,3453,3811,,,,
,,,,,,
45108,3449,3810,,,,
,,,,,,
45208,3453,3811,,,,
,,,,,,
45308,3451,3813,,,,
,,,,,,
45408,3453,3813,,,,
,,,,,,
45508,3456,3801,,,,
,,,,,,
45608,3451,3815,,,,
,,,,,,
45708,3481,3815,,,,
,,,,,,
45808,3467,3815,,,,
,,,,,,
45908,3481,3815,,,,
,,,,,,
46008,3451,3815,,,,
,,,,,,
46108,3451,3813,,,,
,,,,,,
46208,3451,3816,,,,
,,,,,,
46308,3451,3811,,,,
,,,,,,
46408,3451,3811,,,,
,,,,,,
46508,3451,3813,,,,
,,,,,,
46608,3453,3787,,,,
,,,,,,
46708,3454,3815,,,,
,,,,,,
46808,3451,3819,,,,
,,,,,,
46908,3453,3878,,,,
,,,,,,
47008,3451,3811,,,,
,,,,,,
47108,3511,3813,,,,
,,,,,,
47208,3451,3813,,,,
,,,,,,
47308,3455,3815,,,,
,,,,,,
47408,3451,3813,,,,
,,,,,,
47508,3450,3815,,,,
,,,,,,
47608,3453,3815,,,,
,,,,,,
47708,3451,3815,,,,
,,,,,,
47808,3452,3815,,,,
,,,,,,
47908,3452,3803,,,,
,,,,,,
48008,3452,3803,,,,
,,,,,,
